Match Number,Team Number,Alliance,
1,5530,Blue,9,1,4,8,8,5,9,0,
1,6150,Blue,2,8,7,9,3,2,7,1,
1,6570,Blue,3,1,9,3,5,9,5,3,
1,3641,Red,6,2,5,6,1,2,1,0,
1,240,Red,7,5,3,3,1,3,5,4,
1,4395,Red,7,0,8,3,2,1,2,9,
2,5222,Blue,6,2,1,1,0,3,4,9,
2,68,Blue,6,1,1,6,0,3,9,0,
2,4384,Blue,6,6,2,7,9,4,9,0,
2,6556,Red,5,5,6,5,1,1,0,4,
2,313,Red,9,6,0,9,0,0,0,3,
2,6190,Red,1,3,6,0,1,9,4,4,
3,3668,Blue,0,8,7,6,9,4,0,2,
3,6101,Blue,2,1,5,4,7,9,8,5,
3,6092,Blue,0,6,7,3,3,0,9,6,
3,5708,Red,6,8,6,5,7,9,9,6,
3,1076,Red,1,2,4,3,4,4,5,4,
3,1528,Red,6,7,6,9,4,5,6,1,
4,5053,Blue,5,1,9,4,2,0,1,0,
4,5603,Blue,9,0,0,0,8,4,4,2,
4,6033,Blue,2,8,2,4,4,5,0,6,
4,5066,Red,1,2,7,5,3,9,1,0,
4,2611,Red,2,4,9,6,0,4,4,1,
4,3656,Red,1,4,3,3,3,4,6,1,
Match Number,Team Number,Alliance,
1,5530,Blue,6,9,6,9,7,8,1,0,
1,6150,Blue,0,1,8,2,7,3,1,4,
1,6570,Blue,0,4,5,8,2,7,4,2,
1,3641,Red,1,6,2,6,7,8,0,2,
1,240,Red,9,9,1,9,4,7,5,3,
1,4395,Red,7,6,8,8,1,3,6,7,
2,5222,Blue,4,9,7,2,8,6,6,9,
2,68,Blue,5,4,8,1,6,4,3,2,
2,4384,Blue,1,6,2,8,1,2,9,2,
2,6556,Red,9,1,0,6,9,5,0,7,
2,313,Red,9,4,2,7,1,7,3,3,
2,6190,Red,2,2,4,0,8,4,7,3,
3,3668,Blue,3,5,7,5,0,8,6,1,
3,6101,Blue,0,4,2,7,5,0,0,9,
3,6092,Blue,3,0,1,1,1,5,1,3,
3,5708,Red,2,9,6,9,8,9,4,5,
3,1076,Red,3,7,2,3,7,5,7,1,
3,1528,Red,7,1,7,6,5,6,7,1,
4,5053,Blue,2,4,6,8,2,6,1,8,
4,5603,Blue,4,4,2,1,1,7,2,0,
4,6033,Blue,0,7,3,8,8,6,1,8,
4,5066,Red,3,0,3,0,7,4,7,6,
4,2611,Red,2,4,6,4,2,5,2,7,
4,3656,Red,6,3,8,3,3,6,9,0,
Match Number,Team Number,Alliance,
1,5530,Blue,4,1,4,1,8,6,9,6,
1,6150,Blue,1,7,5,5,8,6,0,7,
1,6570,Blue,3,4,6,0,0,0,6,3,
1,3641,Red,6,8,6,6,9,7,8,4,
1,240,Red,5,6,3,5,7,3,0,5,
1,4395,Red,5,3,0,3,6,7,1,8,
2,5222,Blue,8,6,8,3,6,0,2,3,
2,68,Blue,4,1,4,0,9,3,7,4,
2,4384,Blue,9,1,0,2,3,5,9,9,
2,6556,Red,4,0,4,6,0,3,7,9,
2,313,Red,7,8,8,2,8,4,7,5,
2,6190,Red,3,9,0,6,9,9,6,2,
3,3668,Blue,6,5,4,4,6,9,5,2,
3,6101,Blue,7,8,9,6,5,6,3,1,
3,6092,Blue,4,5,2,1,4,4,5,4,
3,5708,Red,3,5,9,4,4,2,0,4,
3,1076,Red,4,2,9,4,8,2,2,8,
3,1528,Red,3,5,5,0,5,1,9,7,
4,5053,Blue,5,9,2,3,7,4,7,2,
4,5603,Blue,0,0,1,1,0,0,7,4,
4,6033,Blue,7,5,1,2,6,8,2,1,
4,5066,Red,3,4,8,8,9,4,8,2,
4,2611,Red,5,1,8,5,0,6,7,9,
4,3656,Red,5,7,4,8,1,0,7,2,
Match Number,Team Number,Alliance,
1,5530,Blue,9,9,2,4,2,8,4,8,
1,6150,Blue,7,3,4,0,3,2,1,0,
1,6570,Blue,2,2,8,1,8,9,2,5,
1,3641,Red,6,4,6,9,4,2,6,8,
1,240,Red,3,8,8,2,4,4,2,7,
1,4395,Red,8,5,2,0,3,1,3,8,
2,5222,Blue,2,5,2,4,4,6,8,0,
2,68,Blue,6,7,8,7,2,4,4,4,
2,4384,Blue,6,6,6,5,3,9,6,7,
2,6556,Red,0,0,3,3,6,2,1,5,
2,313,Red,1,7,7,8,0,2,3,6,
2,6190,Red,0,8,5,7,6,4,5,4,
3,3668,Blue,1,7,3,7,4,7,5,3,
3,6101,Blue,9,4,4,4,3,4,3,4,
3,6092,Blue,5,2,6,4,7,5,4,4,
3,5708,Red,2,9,5,5,3,9,1,5,
3,1076,Red,4,9,2,9,8,4,0,4,
3,1528,Red,2,3,8,5,7,9,3,5,
4,5053,Blue,5,1,1,3,8,1,6,5,
4,5603,Blue,2,9,4,4,2,9,9,0,
4,6033,Blue,3,8,9,4,1,4,6,1,
4,5066,Red,2,1,1,3,6,9,6,3,
4,2611,Red,6,9,9,2,7,7,7,3,
4,3656,Red,2,6,6,9,0,5,2,2,
Match Number,Team Number,Alliance,
1,5530,Blue,7,1,7,8,7,2,4,9,
1,6150,Blue,3,3,0,6,8,8,7,3,
1,6570,Blue,2,1,4,2,5,9,6,1,
1,3641,Red,3,3,3,2,1,1,1,8,
1,240,Red,2,5,2,7,7,8,0,2,
1,4395,Red,0,7,4,7,5,9,5,7,
2,5222,Blue,8,6,6,8,9,0,0,8,
2,68,Blue,5,6,4,4,8,1,7,1,
2,4384,Blue,2,1,3,3,5,9,6,3,
2,6556,Red,0,1,2,7,4,8,5,4,
2,313,Red,8,5,4,4,5,3,8,1,
2,6190,Red,5,4,2,1,4,6,4,8,
3,3668,Blue,0,2,5,3,5,1,2,8,
3,6101,Blue,0,2,7,8,8,2,3,7,
3,6092,Blue,0,0,6,3,7,2,6,9,
3,5708,Red,3,1,8,1,7,5,9,4,
3,1076,Red,7,3,7,2,3,2,8,6,
